annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
2016077,VENDREDI,23/09/16,23/11/16,14,39,42,49,16,9,3
2016076,MARDI   ,20/09/2016,20/11/2016,45,41,4,1,10,9,6
2016075,VENDREDI,16/09/2016,16/11/2016,32,5,22,8,14,2,11
2016074,MARDI   ,13/09/2016,13/11/2016,44,16,4,7,35,3,1
2016073,VENDREDI,09/09/2016,09/11/2016,28,4,11,17,15,1,3
2016072,MARDI   ,06/09/2016,06/11/2016,45,12,34,24,30,7,10
2016071,VENDREDI,02/09/2016,02/11/2016,50,40,16,32,8,2,11
2016070,MARDI   ,30/08/2016,30/10/2016,29,42,13,16,35,6,8
2016069,VENDREDI,26/08/2016,26/10/2016,48,9,30,28,1,7,8
2016068,MARDI   ,23/08/2016,23/10/2016,2,31,45,37,23,8,4
2016067,VENDREDI,19/08/2016,19/10/2016,22,6,5,25,34,7,5
2016066,MARDI   ,16/08/2016,16/10/2016,34,37,46,26,2,4,8
2016065,VENDREDI,12/08/2016,12/10/2016,15,50,36,2,28,11,2
2016064,MARDI   ,09/08/2016,09/10/2016,19,43,44,12,45,10,5
2016063,VENDREDI,05/08/2016,05/10/2016,19,16,24,37,35,2,7
2016062,MARDI   ,02/08/2016,02/10/2016,27,46,38,2,8,2,6
2016061,VENDREDI,29/07/2016,28/09/2016,40,26,50,1,21,4,2
2016060,MARDI   ,26/07/2016,25/09/2016,13,49,10,45,3,11,2
2016059,VENDREDI,22/07/2016,21/09/2016,26,45,24,7,37,9,5
2016058,MARDI   ,19/07/2016,18/09/2016,24,37,19,28,36,6,3
2016057,VENDREDI,15/07/2016,14/09/2016,2,11,14,13,21,1,8
2016056,MARDI   ,12/07/2016,11/09/2016,26,3,41,33,7,2,10
2016055,VENDREDI,08/07/2016,07/09/2016,12,18,8,44,33,8,4
2016054,MARDI   ,05/07/2016,04/09/2016,38,29,10,48,1,4,3
2016053,VENDREDI,01/07/2016,31/08/2016,11,50,13,40,2,10,1
2016052,MARDI   ,28/06/2016,28/08/2016,43,37,32,26,49,5,4
2016051,VENDREDI,24/06/2016,24/08/2016,11,19,39,28,27,3,10
2016050,MARDI   ,21/06/2016,21/08/2016,32,35,17,49,5,5,1
2016049,VENDREDI,17/06/2016,17/08/2016,43,1,18,27,7,8,4
2016048,MARDI   ,14/06/2016,14/08/2016,13,50,42,39,34,11,9
2016047,VENDREDI,10/06/2016,10/08/2016,21,35,42,14,43,7,9
2016046,MARDI   ,07/06/2016,07/08/2016,26,49,19,45,35,2,5
2016045,VENDREDI,03/06/2016,03/08/2016,7,31,39,23,33,6,10
2016044,MARDI   ,31/05/2016,31/07/2016,6,30,26,48,12,6,7
