date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
20081004,33,32,42,16,15,37
20081004,36,9,16,27,25,48
20081001,41,16,14,18,10,24
20081001,29,28,3,1,6,11
20080927,24,47,39,42,45,46
20080927,28,7,24,35,32,33
20080924,2,33,34,28,8,47
20080924,9,19,32,21,20,40
20080920,24,40,13,9,47,14
20080920,31,26,47,10,12,39
20080917,31,49,9,30,29,27
20080917,26,43,49,40,48,47
20080913,11,36,34,14,35,17
20080913,28,40,8,9,17,7
20080910,7,24,6,12,2,15
20080910,38,36,19,5,39,48
20080906,20,34,49,21,46,30
20080906,22,40,12,46,29,35
20080903,29,12,27,4,2,25
20080903,28,15,26,42,14,45
20080830,6,32,23,19,47,40
20080830,47,21,5,20,37,42
20080827,49,34,21,19,32,44
20080827,39,25,8,7,43,13
20080823,12,40,43,8,31,41
20080823,37,39,3,7,26,20
20080820,15,17,26,32,12,35
20080820,5,44,10,41,11,31
20080816,5,25,34,12,20,45
20080816,42,21,41,29,24,30
20080813,41,43,25,23,4,32
20080813,23,49,29,11,38,36
20080809,19,29,25,24,6,7
20080809,24,48,47,6,2,14
20080806,16,40,46,39,43,1
20080806,13,26,35,30,47,36
20080802,11,9,27,18,46,1
20080802,34,32,15,16,17,24
20080730,44,7,48,32,40,25
20080730,32,33,7,35,36,5
20080726,45,20,48,44,31,2
20080726,41,13,27,18,42,3
20080723,29,4,35,23,17,8
20080723,16,48,6,22,5,45
20080719,3,47,10,25,40,30
20080719,41,1,11,46,19,12
20080716,23,29,34,47,21,24
20080716,47,17,10,1,16,40
20080712,6,9,7,43,8,30
20080712,26,27,4,18,20,25
20080709,45,34,39,21,13,28
20080709,46,25,36,4,16,40
20080705,35,36,44,39,13,43
20080705,18,26,17,23,12,45
20080702,34,26,3,17,4,43
20080702,43,33,38,14,27,34
20080628,44,7,16,29,26,25
20080628,30,18,17,7,22,4
20080625,5,27,44,3,35,16
20080625,12,36,2,1,30,25
20080621,30,19,2,10,22,44
20080621,29,14,41,17,28,25
20080618,46,1,39,11,32,33
20080618,49,29,21,11,48,1
20080614,1,27,11,24,20,45
20080614,24,39,1,16,35,30
20080611,22,47,45,26,35,31
20080611,6,7,35,46,45,1
20080607,30,3,1,33,9,25
20080607,20,15,40,13,2,46
20080604,46,15,11,40,8,35
20080604,39,27,30,19,13,45
20080531,43,19,48,1,3,36
20080531,23,2,46,42,32,29
20080528,24,12,17,46,14,21
20080528,14,18,29,30,32,40
20080524,33,48,32,5,16,6
20080524,32,8,39,7,1,35
20080521,14,17,33,1,7,4
20080521,5,34,17,35,13,1
20080517,20,35,28,13,1,38
20080517,10,37,25,4,36,12
20080514,12,13,5,17,31,43
