date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
21/04/2025,5,13,30,48,8,5
19/04/2025,19,11,32,16,20,6
16/04/2025,13,38,27,40,39,10
14/04/2025,33,40,25,31,37,9
12/04/2025,3,18,10,13,47,1
09/04/2025,36,16,12,47,46,9
07/04/2025,21,34,13,38,2,1
05/04/2025,14,30,22,8,27,7
02/04/2025,45,5,34,15,4,9
31/03/2025,3,4,28,16,38,4
29/03/2025,14,31,41,7,12,5
26/03/2025,4,41,21,19,11,7
24/03/2025,35,29,47,46,21,1
22/03/2025,3,49,36,20,23,6
19/03/2025,15,14,3,45,12,3
17/03/2025,16,32,26,9,20,7
15/03/2025,27,6,31,21,40,7
12/03/2025,21,10,24,32,16,7
10/03/2025,23,24,13,15,39,1
08/03/2025,18,2,10,3,11,2
05/03/2025,47,28,7,26,30,4
03/03/2025,41,13,28,6,4,1
01/03/2025,14,28,33,9,8,4
26/02/2025,44,11,3,15,17,9
24/02/2025,32,5,13,38,46,5
22/02/2025,28,30,23,39,25,7
19/02/2025,42,23,16,32,28,5
17/02/2025,40,3,14,20,34,6
15/02/2025,48,42,13,49,6,3
12/02/2025,1,37,41,30,23,5
10/02/2025,39,44,12,29,2,6
08/02/2025,49,26,11,43,42,8
05/02/2025,14,8,24,28,5,9
03/02/2025,29,48,32,27,44,8
01/02/2025,34,46,11,30,36,5
29/01/2025,29,41,17,27,19,2
27/01/2025,24,39,48,3,10,3
25/01/2025,45,35,44,5,19,8
22/01/2025,29,36,23,44,38,9
20/01/2025,19,28,36,40,6,2
18/01/2025,11,1,4,33,44,7
15/01/2025,1,22,40,27,28,2
13/01/2025,31,3,24,41,7,2
11/01/2025,42,20,6,29,41,9
08/01/2025,14,34,38,24,26,8
06/01/2025,3,31,8,16,42,7
04/01/2025,17,20,9,19,29,2
01/01/2025,8,11,2,25,21,4
30/12/2024,13,31,29,1,21,10
28/12/2024,31,7,37,39,13,6
25/12/2024,46,6,22,44,13,8
23/12/2024,22,17,38,2,13,7
21/12/2024,41,16,6,28,36,8
18/12/2024,8,27,26,46,14,2
16/12/2024,43,5,26,36,6,3
14/12/2024,30,22,44,40,24,7
11/12/2024,28,24,8,43,19,6
09/12/2024,38,5,9,25,6,6
07/12/2024,9,21,24,30,28,9
04/12/2024,40,21,7,34,3,1
02/12/2024,48,16,22,41,4,10
30/11/2024,21,4,10,38,19,1
27/11/2024,15,7,31,35,20,6
